player,age,current_club,current_league,foot,height,nationality,position,games12,games13,games14,games15,games16,games17,goals12,goals13,goals14,goals15,goals16,goals17,minutes12,minutes13,minutes14,minutes15,minutes16,minutes17,assists12,assists13,assists14,assists15,assists16,assists17
Dmitri Poloz,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,W,22,30,24,30,40,24,3,1,4,7,14,3,1057,1258,1522,2132,2987,1194,1,4,2,6,8,7
Emiliano Rigoni,25,Zenit St. Petersburg,RUS - Premier Liga,both,180,Argentina  Italy,W,,26,48,20,31,21,,1,7,5,11,6,,1255,2832,1533,2427,1433,,0,6,6,2,3
Sebastián Driussi,22,Zenit St. Petersburg,RUS - Premier Liga,both,179,Argentina  Italy,CF,,7,37,15,35,31,,1,4,1,21,3,,296,2231,914,2517,1571,,0,4,1,3,4
Aleksandr Kokorin,26,Zenit St. Petersburg,RUS - Premier Liga,right,183,Russia,CF,26,23,39,24,38,34,13,10,10,8,10,19,2287,1777,2785,1424,2889,2911,5,9,7,3,7,4
Anton Zabolotnyi,26,Zenit St. Petersburg,RUS - Premier Liga,right,188,Russia,CF,5,26,,29,34,24,1,3,,5,16,4,171,1305,,1500,2562,2019,0,1,,3,5,2
Quincy Promes,26,Spartak Moscow,RUS - Premier Liga,both,174,Netherlands  Suriname,W,42,31,29,32,29,28,17,11,13,18,12,15,3678,2730,2499,2806,2474,2427,11,8,5,8,10,8
Pedro Rocha,23,Spartak Moscow,RUS - Premier Liga,right,175,Brazil,W,,,34,20,23,10,,,5,2,7,1,,,1983,953,1753,449,,,3,1,6,2
Lorenzo Melgarejo,27,Spartak Moscow,RUS - Premier Liga,left,178,Paraguay,W,40,25,15,28,22,25,2,10,1,11,2,6,3588,1782,990,1794,804,1092,5,2,0,3,0,5
Zelimkhan Bakaev,21,Spartak 2 Moscow,RUS - Premier Liga,left,180,Russia,W,,,,14,31,12,,,,2,0,1,,,,597,1573,775,,,,1,2,0
Luiz Adriano,30,Spartak Moscow,RUS - Premier Liga,right,183,Brazil,CF,32,39,33,29,15,29,15,31,21,6,2,11,2455,3120,2681,1504,591,2513,9,4,11,4,1,7
Zé Luís,27,Spartak Moscow,RUS - Premier Liga,left,184,Cape Verde,CF,35,29,25,25,24,16,8,10,11,10,5,4,1603,1577,1604,1768,1703,1022,1,5,5,5,7,7
Ahmed Musa,25,CSKA Moscow,RUS - Premier Liga,both,170,Nigeria,CF,35,37,39,44,32,12,15,9,11,18,4,2,3029,2878,3226,3858,1335,1075,7,4,11,6,0,3
Fedor Chalov,19,CSKA Moscow,RUS - Premier Liga,right,180,Russia,CF,,,,6,23,23,,,,1,11,0,,,,419,1309,1033,,,,1,5,2
Timur Zhamaletdinov,20,CSKA Moscow,RUS - Premier Liga,right,181,Russia,CF,,,6,7,13,17,,,3,4,6,2,,,465,531,809,585,,,0,2,2,0
Wanderson,23,FK Krasnodar,RUS - Premier Liga,right,175,Brazil  Belgium,W,6,29,32,26,28,23,0,2,2,2,5,3,199,1924,1769,1175,1543,1236,1,6,4,0,11,2
Joãozinho,29,FK Krasnodar,RUS - Premier Liga,left,166,Russia  Brazil,W,31,34,29,23,33,19,4,7,11,2,6,2,2740,2964,2369,991,1809,898,16,12,9,5,5,1
Andrei Ivan,21,FK Krasnodar,RUS - Premier Liga,right,185,Romania,W,,8,19,34,39,8,,1,1,7,10,0,,324,518,2762,3382,145,,0,2,5,5,2
Ricardo Laborde,30,FK Krasnodar,RUS - Premier Liga,right,174,Colombia,W,29,12,37,31,27,7,7,3,7,3,3,2,2275,438,1499,1290,877,214,9,3,6,6,3,0
Magomed-Shapi Suleymanov,18,FK Krasnodar,RUS - Premier Liga,left,170,Russia,W,,,,,,10,,,,,,2,,,,,,458,,,,,,6
Fedor Smolov,28,FK Krasnodar,RUS - Premier Liga,right,187,Russia,CF,26,29,26,44,31,17,1,2,8,24,25,12,1023,1965,1854,3410,2691,1377,0,2,3,13,1,2
Ivan Ignatjev,19,FK Krasnodar,RUS - Premier Liga,right,180,Russia,CF,,,,,,11,,,,,,13,,,,,,847,,,,,,3
Alan Kasaev,31,Lokomotiv Moscow,RUS - Premier Liga,right,174,Russia,W,31,20,31,31,19,2,3,3,4,3,2,0,1564,1060,2016,2127,857,54,5,3,3,4,5,0
Jefferson Farfán,33,Lokomotiv Moscow,RUS - Premier Liga,right,178,Peru,W,35,28,9,9,11,24,7,12,0,1,3,12,2828,2259,564,696,677,1995,10,9,0,1,0,6
Arshak Koryan,22,Lokomotiv Moscow,RUS - Premier Liga,right,169,Russia  Armenia,W,,0,8,12,25,3,,0,1,6,11,0,,0,588,922,1808,30,,0,3,2,10,0
Éder,30,Lokomotiv Moscow,RUS - Premier Liga,both,190,Portugal  Guinea-Bissau,CF,31,16,38,29,37,19,16,4,14,6,7,3,2413,1064,2268,1582,2842,1041,5,3,3,4,5,1
Ari,32,Lokomotiv Moscow,RUS - Premier Liga,both,180,Brazil,CF,37,21,38,36,31,5,6,7,14,6,13,1,2621,1297,2451,2252,2435,430,8,3,9,7,8,1
Gökdeniz Karadeniz,38,Rubin Kazan,RUS - Premier Liga,right,168,Turkey,W,42,31,24,28,12,16,7,6,7,7,0,2,3319,2365,2017,2061,535,835,9,5,4,2,0,5
Rifat Zhemaletdinov,21,Rubin Kazan,RUS - Premier Liga,right,184,Russia,W,,,,6,26,18,,,,2,0,3,,,,314,1395,800,,,,1,0,1
